"marque","produit","pays_marche","format","classement","macro_categorie","base_reelle","actifs_principaux","dose_portion","cafeine_portion","prix_observe_2026_08_01","disponibilite_france","affiliation_ou_contact","source_officielle","statut_verification","notes","date_derniere_verification","statut_commercial_actuel","etat_source_officielle","experience_boisson","origine_cafe","nombre_portions","poids_conditionnement","cafeine_mg_min","cafeine_mg_max","niveau_cafeine","champignons_standardises","nombre_champignons","partie_champignon","methode_extraction_infusion","proteines_g","collagene_g","creatine_g","mct_g","sucres_edulcorants","allergenes_regime","preparation","prix_par_portion_observe","transparence_dosage","preuve_laboratoire","promesse_principale","priorite_seo","risque_editorial","source_secondaire","changements_2026_08_01"
"Torrégral","Torrégral","France","café torréfié","Café intrinsèquement fonctionnel","1 — 100 % café","café et composants du fruit du café","fonctionnalité issue du fruit du café","non publié","non publié","15 € le sachet","oui","écosystème partenaire","https://torregral.com/","B","À documenter par fiche technique; conserve le goût et l'usage du café.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café à préparer (goût café)","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","faible","non publiée","fonctionnalité issue du fruit du café","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Café Minceur","Café Minceur","France","café moulu","Café intrinsèquement fonctionnel","1 — 100 % café","dérivé Torrégral issu du fruit du café","fonctionnalité issue du fruit du café","10 g; 70 g pour 7 tasses","non publié","environ 1,43 €/tasse","oui","écosystème partenaire","https://cafeminceur.fr/","B","Données fabricant à consolider par fiche technique.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café à préparer (goût café)","non publiée","7","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","1.43 € / portion","partielle","non publiée","fonctionnalité issue du fruit du café","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Café Intégral","Café Intégral 100 %","France","poudre de fruit de café","Produit à base de cerise de café","3 — Pas vraiment du café, mais quand même","cerise de café entière","composants de la cerise","non publié","non publié","18,50 € / 50 g","oui","écosystème partenaire","https://cafeintegral.fr/","B","Ce n'est pas un café torréfié classique; classer hors comparateur principal de goût café.","2026-08-01","page officielle observée; vente à reconfirmer","page protégée par contrôle anti-robot","alternative au café / latte","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","alternative au café","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Bonjour","Super Café","France","poudre instantanée","Alternative multi-actifs","3 — Pas vraiment du café, mais quand même","base alternative goût café","champignons adaptogènes et nootropiques","6 g; 2 700 mg d'extraits annoncés; 30 portions","35 mg","abonnement 22,93 à 31,20 € le sachet (0,76 à 1,04 €/tasse); achat ponctuel 44,80 € le sachet (1,49 €/tasse)","oui","Awin annonceur 122146","https://bonjourdrink.co/","A","Formule phare française; vérifier régulièrement le détail des extraits.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","alternative au café / latte","non publiée","30","180 g","35","35","faible (≤ 50 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","sans sucre ni édulcorant annoncé","vegan; sans gluten; sans lactose annoncés","diluer dans de l'eau ou du lait; température selon fabricant","0,76–1,49 € / portion","partielle","non publiée","alternative au café","P2 — comparatif secondaire","faible à moyen","non publiée","Prix et paliers d'abonnement revérifiés; 2 700 mg d'extraits et 30 portions confirmés."
"Wake","Wake Original","France","poudre instantanée","Café collagène et champignons","2 — Cafés artificiellement enrichis","café instantané","collagène; Lion's Mane; autres actifs","environ 9 g; 3,33 g collagène; environ 387 mg Lion's Mane","5 à 30 mg selon pages","environ 0,83 à 1,90 €/tasse","oui","contact direct","https://wake-drinks.com/","B","Incohérence de caféine entre pages de marque.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","non publié","non publié","5","30","faible (≤ 50 mg)","Lion's Mane","1","non publiée","non publiée","non publié","3.33 g","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","0.83–1.90 € / portion","élevée","non publiée","beauté / collagène","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Brainstoorm / Mush n Go","Café adaptogène","France","poudre instantanée","Café aux champignons et plantes","2 — Cafés artificiellement enrichis","café instantané","mélange de champignons et plantes","8 g annoncé; 3 000 mg de champignons","20 mg","environ 1,33 €/tasse","oui","GoAffPro","https://brainstoorm.com/","B","Somme des masses déclarées à contrôler par rapport au poids de portion.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","non publié","non publié","20","20","faible (≤ 50 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.33 € / portion","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"French Mush","BOOST Café","France","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","café instantané","extraits de champignons fonctionnels","5 g; 800 mg d'extraits","49 mg","environ 0,88 à 1,50 €/tasse","oui","Awin annonceur 122312","https://frenchmush.com/","A","Marque française; formule à surveiller lors des changements de gamme.","2026-08-01","actif — page officielle observée","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","non publié","non publié","49","49","faible (≤ 50 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","0.88–1.50 € / portion","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Café des Guerriers","Le Café Parfait","France","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","café instantané","champignons adaptogènes","5 g; 1 500 mg d'actifs listés","48 à 60 mg selon pages","environ 0,97 à 1,30 €/tasse","oui","contact direct","https://cafedesguerriers.fr/","B","Écart de caféine entre contenus officiels.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","48","60","modérée (51–100 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","0.97–1.30 € / portion","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Strate","Café adaptogène","France","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","café instantané","Lion's Mane; Chaga; Reishi; Cordyceps; Shiitake; King Trumpet","6 g; 2 200 mg de champignons par tasse","48 mg","environ 1,10 à 1,63 €/tasse","oui","contact direct","https://stratecafe.com/products/cafe-champignons","A","Nouvelle adresse officielle vérifiée; six extraits de corps fructifères; formule conçue en France.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","48","48","faible (≤ 50 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Shiitake; King Trumpet","6","corps fructifère annoncé","extraits; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.10–1.63 € / portion","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","Ancien domaine strate.co remplacé par stratecafe.com; formule et caféine revérifiées."
"Cosmic Blend","Cosmic Blend Coffee","France","poudre instantanée","Café collagène multi-actifs","2 — Cafés artificiellement enrichis","café instantané","collagène; champignons; nootropiques","non publié","30 mg","environ 1,66 €/tasse","oui","programme ambassadeur","https://cosmicblend.fr/","C","Le domaine affiche désormais un service générique sans produit identifiable; existence commerciale actuelle non confirmée.","2026-08-01","non confirmé — produit introuvable sur le domaine","domaine accessible mais produit non retrouvé","café instantané","non publiée","non publié","non publié","30","30","faible (≤ 50 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.66 € / portion","faible","non publiée","beauté / collagène","P3 — veille / ne pas recommander encore","élevé","non publiée","Domaine réaffecté ou contenu remplacé; produit rétrogradé au niveau C."
"Cafit","Café Protéiné","France","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","café et protéines laitières","whey/protéines","12 à 18 g; 10 g protéines pour 18 g","80 mg pour 18 g","environ 1,33 €/tasse","oui","contact direct","https://cafitdrink.com/","A","Usage café protéiné; la portion peut varier.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","80","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","10 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","1.33 € / portion","élevée","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Magic Lab","Magic Coffee","France","poudre instantanée","Alternative aux champignons sans caféine","3 — Pas vraiment du café, mais quand même","alternative goût café; café absent ou non déclaré","Lion's Mane; Reishi; Chaga; Cordyceps; fibres prébiotiques","5 g; 2 000 mg d'extraits; 30 portions","0 mg","moins de 1 €/tasse annoncé; prix total non visible","oui","contacter info@drinkmagiclab.com","https://www.drinkmagiclab.com/products/magic-coffee-cafe-complement-aux-champignons-adaptognes","A","Substitut et non café; page officielle contient des allégations santé à traiter avec prudence éditoriale.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","alternative au café / latte","non publiée","30","non publié","0","0","sans caféine","Lion's Mane; Chaga; Reishi; Cordyceps","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1 € / portion","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Mousse","Mousse Café Adaptogène","France","poudre instantanée","Café aux plantes et nootropiques","2 — Cafés artificiellement enrichis","100 % Arabica annoncé","Bacopa; Maca; Ashwagandha; L-théanine 200 mg; L-tyrosine 1 000 mg","30 portions; 2 450 mg de 'champignons' annoncé; autre page 3 100 mg d'actifs","35 mg","36 € / 30; 58,50 € / 60; 82,35 € / 90","oui","programme public non identifié","https://moussecafe.fr/","B","Terminologie officielle confuse: Bacopa, Maca et Ashwagandha ne sont pas des champignons.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","30","non publié","35","35","faible (≤ 50 mg)","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Popeli","Super-Café Protéiné","France","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","100 % Arabica et whey concentrée","whey; huile MCT; arômes","17,7 g; 20 portions; 10 g protéines","non publié","24,95 à 29,95 € observés selon page/variante","oui","programme public non identifié","https://popeli.co/","B","Prix et variante à horodater au moment de publication.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","20","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","10 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"KAWA","KAWA Café Protéiné","France","poudre instantanée","Café protéiné multi-actifs","2 — Cafés artificiellement enrichis","café; source protéique non détaillée dans l'extrait","15 g protéines; L-théanine; MCT; prébiotiques","30 portions","90 mg","39 € / 30; 60 € / 60; 86 € / 90","oui","programme public non identifié","https://kawadrinks.com/","B","Composition complète et origine de la protéine à obtenir.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","90","90","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","15 g","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Foocus","Start","France","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","café Arabica soluble","Lion's Mane; Chaga; Cordyceps; formule antérieure à 7 champignons","environ 4,7 g visibles; 2 200 mg champignons; 2 500 mg café","environ 80 mg","39 € / 30 portions en offre découverte","oui","programme public non identifié","https://drinkfoocus.fr/products/cafe-foocus","B","Pages officielles décrivent deux compositions différentes, probablement changement de formule.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","80","80","modérée (51–100 mg)","Lion's Mane; Chaga; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.30 € / portion","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Fraté Maté","Magic Powder Café","France","poudre instantanée","Hybride café-maté multi-actifs","2 — Cafés artificiellement enrichis","café et maté","7 champignons; Ashwagandha; Maca; stévia","4 g annoncé; paquet/portions incohérents selon variantes","115 mg","39,99 € / 30 portions affichées","oui","programme public non identifié","https://www.fratemateclub.com/products/poudre-cafe","B","La page mentionne 150 g et des variantes 30/60/90 portions; contrôler le poids livré.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","30","non publié","115","115","élevée (> 100 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","stévia","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.33 € / portion","partielle","non publiée","énergie / usage quotidien","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
